bloock-smooth,date of sale,change,worth,essence,part sold,settelment,year built,Area,Room number
006906-0134-020-00,29/12/2022,"1,406,666","1,406,666",דירה בבית קומות,0.333,Tel-Aviv-jaffa,1970,71,3
007243-0007-011-00,29/01/2023,"1,950,000","1,950,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,62,3
006993-0122-000-00,18/12/2022,"2,575,000","2,575,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,57,3
008941-0026-000-00,26/12/2022,"593,333","593,333",דירה בבית קומות,0.05,Tel-Aviv-jaffa,1930,72,3
007074-0039-035-00,24/11/2022,"1,320,000","1,320,000",דירה בבית קומות,0.666,Tel-Aviv-jaffa,1960,46,3
007423-0008-008-00,29/11/2022,"1,800,000","1,800,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,63,3
006214-0548-133-00,26/12/2022,"1,949,245","1,949,245",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2024,82,3
006213-1471-221-00,27/12/2022,"2,649,681","2,649,681",דירה בבית קומות,0.403,Tel-Aviv-jaffa,2023,98,3
006214-0548-131-00,27/12/2022,"1,796,245","1,796,245",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2024,72,3
006214-0548-140-00,29/12/2022,"2,129,584","2,129,584",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2024,93,3
006135-0025-000-00,15/01/2023,"1,870,000","1,870,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1940,80,3
007094-0105-902-00,19/01/2023,"1,521,333","1,521,333",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2022,76,3
006213-1471-250-00,29/01/2023,"2,578,646","2,578,646",דירה בבית קומות,0.403,Tel-Aviv-jaffa,2023,84,3
006995-0046-001-00,09/01/2023,"2,000,000","2,000,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2025,72,3
006902-0211-006-00,22/01/2023,"1,500,000","1,500,000",דירה בבית קומות,0.3,Tel-Aviv-jaffa,1970,67,3
006136-0299-000-00,30/01/2023,"3,000,000","3,000,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2017,80,3
007103-0152-012-00,17/01/2023,"1,596,000","1,596,000",דירה בבית קומות,0.4,Tel-Aviv-jaffa,2015,69,3
007075-0061-044-00,19/01/2023,"2,753,000","2,753,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2023,84,3
007455-0027-020-00,26/01/2023,"2,225,000","2,225,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2013,70,3
006636-0379-006-00,26/01/2023,"1,500,000","1,500,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1960,60,3
007065-0196-019-00,14/02/2023,"2,700,000","2,700,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,70,3
006135-0026-000-00,01/03/2023,"1,500,000","1,500,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,50,3
006649-0253-014-00,22/12/2022,"2,637,500","2,637,500",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2021,108,3
007017-0040-014-00,11/01/2023,"730,000","730,000",דירה בבית קומות,0.166,Tel-Aviv-jaffa,1920,56,3
006999-0153-029-00,17/01/2023,"1,100,462","1,100,462",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,76,3
007075-0061-042-00,08/02/2023,"2,650,000","2,650,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2023,84,3
007427-0008-003-00,18/02/2023,"1,400,000","1,400,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,73,3
007075-0003-052-00,23/02/2023,"2,450,000","2,450,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2021,67,3
006894-0044-000-00,24/11/2022,"2,600,000","2,600,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2021,49,3
006933-0134-009-00,02/01/2023,"1,112,500","1,112,500",דירה בבית קומות,0.25,Tel-Aviv-jaffa,1970,71,3
006933-0134-008-00,02/01/2023,"1,075,000","1,075,000",דירה בבית קומות,0.25,Tel-Aviv-jaffa,1970,71,3
006999-0147-002-00,12/12/2022,"783,333","783,333",דירה בבית קומות,0.333,Tel-Aviv-jaffa,1980,77,3
006981-0210-014-00,16/01/2023,"2,425,000","2,425,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,59,3
006146-0229-019-00,08/03/2023,"1,180,000","1,180,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1960,51,3
006999-0136-016-00,30/11/2022,"550,000","550,000",דירה בבית קומות,0.25,Tel-Aviv-jaffa,1970,69,3
007047-0151-016-00,31/12/2022,"1,900,000","1,900,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,55,3
007084-0169-012-00,04/01/2023,"2,680,000","2,680,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2013,46,3
007085-0191-007-00,22/01/2023,"2,300,000","2,300,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1950,68,3
006997-0168-013-00,01/03/2023,"1,840,000","1,840,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,59,3
006137-0149-015-00,15/03/2023,"2,150,000","2,150,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1980,62,3
007074-0082-009-00,01/12/2022,"500,000","500,000",דירה בבית קומות,0.25,Tel-Aviv-jaffa,1960,73,3
006167-0517-011-00,15/12/2022,"2,950,000","2,950,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,75,3
007000-0184-015-00,19/12/2022,"2,500,000","2,500,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,64,3
006970-0063-006-00,19/02/2023,"2,670,842","2,670,842",דירה בבית קומות,0.8,Tel-Aviv-jaffa,2023,82,3
006903-0083-000-00,22/02/2023,"2,180,000","2,180,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1930,77,3
007055-0053-071-00,23/02/2023,"1,250,000","1,250,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1960,62,3
006136-0300-000-00,15/03/2023,"2,670,000","2,670,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2008,85,3
006979-0006-000-00,16/03/2023,"1,650,000","1,650,000",דירה בבית קומות,0.003,Tel-Aviv-jaffa,1950,48,3
006979-0010-000-00,20/03/2023,"2,000,000","2,000,000",דירה בבית קומות,0.001,Tel-Aviv-jaffa,1960,72,3
006906-0017-002-00,10/01/2023,"1,615,000","1,615,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1950,69,3
006627-0351-158-00,22/02/2023,"2,300,000","2,300,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1950,76,3
007075-0062-019-00,30/03/2023,"2,040,000","2,040,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,74,3
007243-0009-054-00,03/04/2023,"900,000","900,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1970,62,3
006914-0026-000-00,29/11/2022,"1,025,898","1,025,898",דירה בבית קומות,0.255,Tel-Aviv-jaffa,1950,1,3
006948-0022-006-00,09/01/2023,"2,500,000","2,500,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,85,3
006914-0026-000-00,16/01/2023,"1,025,898","1,025,898",דירה בבית קומות,0.51,Tel-Aviv-jaffa,1950,1,3
006970-0063-009-00,08/03/2023,"2,550,625","2,550,625",דירה בבית קומות,0.8,Tel-Aviv-jaffa,2023,82,3
006999-0150-011-00,08/01/2023,"1,200,000","1,200,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1970,65,3
006135-0069-000-00,13/02/2023,"709,324","709,324",דירה בבית קומות,0.001,Tel-Aviv-jaffa,1950,82,3
007074-0039-048-00,19/02/2023,"2,200,000","2,200,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,43,3
007000-0220-001-00,22/02/2023,"1,850,000","1,850,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,67,3
006134-0622-021-00,30/03/2023,"2,927,288","2,927,288",דירה בבית קומות,1,Tel-Aviv-jaffa,2023,86,3
006212-1247-005-00,30/03/2023,"747,500","747,500",דירה בבית קומות,0.136,Tel-Aviv-jaffa,2024,83,3
006995-0057-048-00,03/04/2023,"1,850,000","1,850,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,49,3
007111-0077-011-00,04/04/2023,"1,004,000","1,004,000",דירה בבית קומות,0.17,Tel-Aviv-jaffa,1930,64,3
007075-0054-055-00,15/12/2022,"2,070,000","2,070,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1950,62,3
007065-0217-040-00,10/01/2023,"2,075,000","2,075,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1950,50,3
006150-0752-000-00,18/01/2023,"1,850,000","1,850,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1960,52,3
006133-0381-003-00,29/01/2023,"986,666","986,666",דירה בבית קומות,0.333,Tel-Aviv-jaffa,1950,75,3
006997-0159-001-00,08/02/2023,"2,000,000","2,000,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,61,3
006909-0066-000-00,07/03/2023,"1,900,000","1,900,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1930,73,3
006163-0017-030-00,23/03/2023,"1,275,000","1,275,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1950,82,3
009013-0004-000-00,28/03/2023,"2,600,000","2,600,000",דירה בבית קומות,0.333,Tel-Aviv-jaffa,1950,65,3
006933-0115-004-00,29/03/2023,"2,454,000","2,454,000",דירה בבית קומות,0.34,Tel-Aviv-jaffa,2015,89,3
007228-0002-006-00,30/03/2023,"1,554,000","1,554,000",דירה בבית קומות,0.757,Tel-Aviv-jaffa,2008,85,3
006913-0019-006-00,24/04/2023,"1,054,000","1,054,000",דירה בבית קומות,0.18,Tel-Aviv-jaffa,1960,79,3
006997-0175-016-00,28/04/2023,"1,910,000","1,910,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,48,3
007065-0219-030-00,30/04/2023,"2,340,000","2,340,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1950,54,3
006992-0021-006-00,28/11/2022,"1,631,250","1,631,250",דירה בבית קומות,0.75,Tel-Aviv-jaffa,1970,75,3
007241-0024-032-00,28/11/2022,"2,370,000","2,370,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1984,92,3
006111-0214-008-00,20/12/2022,"622,000","622,000",דירה בבית קומות,0.2,Tel-Aviv-jaffa,1950,74,3
006146-0338-007-00,26/12/2022,"1,094,555","1,094,555",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,76,3
006999-0158-011-00,16/01/2023,"510,000","510,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1970,74,3
006106-0605-031-00,16/02/2023,"1,049,999","1,049,999",דירה בבית קומות,0.333,Tel-Aviv-jaffa,1960,61,3
006213-1471-195-00,12/03/2023,"2,358,323","2,358,323",דירה בבית קומות,0.403,Tel-Aviv-jaffa,2023,84,3
007242-0024-084-00,30/03/2023,"2,100,000","2,100,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,49,3
007321-0045-005-00,30/03/2023,"1,262,500","1,262,500",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1960,52,3
006212-0396-006-00,04/04/2023,"1,650,000","1,650,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1950,75,3
007050-0169-010-00,25/04/2023,"1,600,000","1,600,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,37,3
007244-0015-025-00,27/04/2023,"2,285,000","2,285,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,59,3
006133-0505-003-00,04/05/2023,"1,400,000","1,400,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1970,64,3
006984-0045-003-00,04/01/2023,"625,000","625,000",דירה בבית קומות,0.25,Tel-Aviv-jaffa,1970,82,3
006970-0063-005-00,16/01/2023,"2,500,344","2,500,344",דירה בבית קומות,0.8,Tel-Aviv-jaffa,2023,76,3
007000-0228-012-00,15/03/2023,"1,650,000","1,650,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,61,3
007016-0024-029-00,29/03/2023,"1,682,500","1,682,500",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1940,58,3
006970-0063-015-00,30/03/2023,"2,779,821","2,779,821",דירה בבית קומות,0.8,Tel-Aviv-jaffa,2023,82,3
006944-0081-000-00,03/04/2023,"2,850,000","2,850,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2012,59,3
006136-0299-004-00,20/04/2023,"2,212,634","2,212,634",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,79,3
006970-0063-012-00,30/04/2023,"2,627,760","2,627,760",דירה בבית קומות,0.8,Tel-Aviv-jaffa,2023,82,3
006903-0010-007-00,03/05/2023,"850,000","850,000",דירה בבית קומות,0.25,Tel-Aviv-jaffa,1950,70,3
007081-0088-047-00,05/05/2023,"1,735,000","1,735,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1960,73,3
006133-1034-000-00,05/05/2023,"2,500,000","2,500,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2021,61,3
006214-0548-159-00,27/12/2022,"2,736,107","2,736,107",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2024,108,4
006108-0372-021-00,27/02/2023,"2,363,095","2,363,095",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2024,108,4
006995-0057-020-00,29/11/2022,"2,170,000","2,170,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,86,4
006882-0053-082-00,02/12/2022,"1,565,000","1,565,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1960,75,4
006129-0238-043-00,01/12/2022,"1,697,241","1,697,241",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2024,107,4
006914-0066-001-00,05/12/2022,"1,375,000","1,375,000",דירה בבית קומות,0.25,Tel-Aviv-jaffa,1930,106,4
007241-0028-119-00,20/12/2022,"2,151,750","2,151,750",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,73,4
006936-0063-003-00,27/11/2022,"2,297,000","2,297,000",דירה בבית קומות,0.33,Tel-Aviv-jaffa,2012,91,4
006624-0909-036-00,29/11/2022,"2,625,000","2,625,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2022,101,4
006108-0372-003-00,30/11/2022,"2,172,333","2,172,333",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2024,108,4
006213-0178-002-00,29/12/2022,"2,296,666","2,296,666",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2022,66,4
007065-0195-015-05,26/12/2022,"2,500,000","2,500,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,54,4
007000-0195-023-00,02/01/2023,"2,800,000","2,800,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,90,4
006133-0923-010-00,05/01/2023,"2,900,000","2,900,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,92,4
006108-0372-015-00,26/12/2022,"2,298,667","2,298,667",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2024,108,4
006624-0909-008-00,28/12/2022,"2,395,000","2,395,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2022,101,4
006214-0548-125-00,30/12/2022,"2,445,450","2,445,450",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2024,108,4
006906-0133-016-00,11/01/2023,"1,154,000","1,154,000",דירה בבית קומות,0.25,Tel-Aviv-jaffa,1990,85,4
007075-0059-008-00,24/01/2023,"2,120,000","2,120,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,69,4
007241-0028-134-00,12/02/2023,"2,240,000","2,240,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,77,4
006624-0909-016-00,15/01/2023,"2,485,000","2,485,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2022,101,4
007241-0028-125-00,14/02/2023,"2,230,000","2,230,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,79,4
007075-0004-068-00,09/12/2022,"850,000","850,000",דירה בבית קומות,0.333,Tel-Aviv-jaffa,1960,59,4
007241-0028-099-00,05/03/2023,"2,156,287","2,156,287",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,73,4
007065-0197-000-00,01/12/2022,"2,800,000","2,800,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2017,84,4
007045-0142-001-00,27/12/2022,"2,025,000","2,025,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1970,80,4
006137-0112-106-00,16/01/2023,"2,800,000","2,800,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2001,93,4
006986-0334-009-00,03/03/2023,"1,244,000","1,244,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1960,88,4
007089-0001-057-00,05/03/2023,"808,750","808,750",דירה בבית קומות,0.25,Tel-Aviv-jaffa,1950,81,4
006213-0086-006-00,07/03/2023,"1,200,000","1,200,000",דירה בבית קומות,0.16,Tel-Aviv-jaffa,2024,122,4
007241-0028-107-00,13/03/2023,"2,085,983","2,085,983",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,72,4
006133-0861-004-00,21/12/2022,"920,600","920,600",דירה בבית קומות,0.2,Tel-Aviv-jaffa,1970,178,4
006907-0029-000-00,29/01/2023,"1,942,000","1,942,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1995,125,4
006970-0102-033-00,08/02/2023,"1,575,000","1,575,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2006,94,4
006918-0030-017-00,27/02/2023,"1,000,000","1,000,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1930,78,4
006615-0166-012-00,06/03/2023,"1,857,500","1,857,500",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1970,96,4
007000-0225-013-00,10/03/2023,"2,450,000","2,450,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,79,4
006995-0057-017-00,15/03/2023,"2,118,287","2,118,287",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,81,4
007024-0143-002-00,06/02/2023,"848,815","848,815",דירה בבית קומות,1,Tel-Aviv-jaffa,1940,65,4
006995-0057-023-00,21/03/2023,"2,216,287","2,216,287",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,86,4
007000-0195-003-00,05/01/2023,"2,250,000","2,250,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,56,4
006130-0288-069-00,19/01/2023,"2,500,000","2,500,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1980,54,4
006995-0057-022-00,04/04/2023,"2,189,287","2,189,287",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,85,4
006995-0057-020-00,04/04/2023,"2,100,287","2,100,287",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,82,4
006995-0057-019-00,04/04/2023,"2,100,287","2,100,287",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,82,4
006628-0641-043-00,02/02/2023,"1,204,000","1,204,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1987,103,4
007065-0197-026-00,09/02/2023,"2,740,000","2,740,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,54,4
007241-0028-103-00,20/04/2023,"2,139,287","2,139,287",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,73,4
007241-0018-001-00,28/12/2022,"2,800,000","2,800,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,110,4
006798-0053-005-00,05/01/2023,"1,454,000","1,454,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1989,114,4
007226-0092-007-00,28/03/2023,"754,000","754,000",דירה בבית קומות,0.18,Tel-Aviv-jaffa,2012,78,4
007043-0019-017-00,02/04/2023,"1,728,501","1,728,501",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,90,4
007065-0216-026-00,27/04/2023,"2,856,288","2,856,288",דירה בבית קומות,1,Tel-Aviv-jaffa,2024,100,4
007223-0009-031-00,08/02/2023,"1,890,000","1,890,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2014,84,4
006615-0311-041-00,24/03/2023,"1,725,000","1,725,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2020,110,4
006213-0085-001-00,30/03/2023,"1,700,000","1,700,000",דירה בבית קומות,0.204,Tel-Aviv-jaffa,2024,114,4
006636-0416-002-00,17/04/2023,"841,250","841,250",דירה בבית קומות,0.25,Tel-Aviv-jaffa,1950,51,4
006133-1034-000-00,20/04/2023,"1,935,000","1,935,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2014,104,4
007241-0028-127-00,04/05/2023,"2,086,287","2,086,287",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,72,4
006110-0222-004-00,26/12/2022,"1,500,000","1,500,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1940,100,4
007050-0187-010-00,13/04/2023,"2,400,000","2,400,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,82,4
007223-0077-003-00,20/04/2023,"503,970","503,970",דירה בבית קומות,0.1,Tel-Aviv-jaffa,1960,78,4
006981-0233-021-00,27/04/2023,"1,297,500","1,297,500",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1970,80,4
006970-0101-031-00,03/05/2023,"2,850,000","2,850,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2002,92,4
007241-0028-100-00,16/05/2023,"2,086,287","2,086,287",דירה בבית קומות,1,Tel-Aviv-jaffa,2022,70,4
007080-0030-003-00,29/06/2022,"1,575,000","1,575,000",דירה בבית קומות,0.25,Tel-Aviv-jaffa,1930,125,5
006981-0107-050-00,24/05/2022,"2,900,000","2,900,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1970,80,5
006615-0299-061-00,06/07/2022,"1,597,000","1,597,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2000,160,5
007186-0018-032-00,25/05/2022,"1,750,000","1,750,000",דירה בבית קומות,0.25,Tel-Aviv-jaffa,2007,126,5
006625-1336-009-00,29/05/2022,"2,780,500","2,780,500",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2020,117,5
006625-1336-005-00,29/05/2022,"2,747,500","2,747,500",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2020,117,5
006623-0695-004-00,02/06/2022,"995,845","995,845",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1985,140,5
007432-0013-009-00,16/06/2022,"2,950,000","2,950,000",דירה בבית קומות,1,Tel-Aviv-jaffa,2020,115,5
006979-0005-000-00,19/07/2022,"2,150,000","2,150,000",דירה בבית קומות,0.002,Tel-Aviv-jaffa,1950,80,5
006885-0033-000-00,21/06/2022,"2,397,000","2,397,000",דירה בבית קומות,0.001,Tel-Aviv-jaffa,2018,117,5
006979-0005-000-00,27/07/2022,"2,100,000","2,100,000",דירה בבית קומות,1,Tel-Aviv-jaffa,1960,100,5
007094-0105-704-00,22/06/2022,"2,338,750","2,338,750",דירה בבית קומות,0.25,Tel-Aviv-jaffa,2022,155,5
006129-0238-051-00,17/07/2022,"1,877,991","1,877,991",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2024,129,5
006634-0334-009-00,19/07/2022,"1,497,000","1,497,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,1997,125,5
007223-0062-014-00,28/07/2022,"2,950,000","2,950,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2022,114,5
006625-1336-009-00,06/07/2022,"2,725,000","2,725,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2020,117,5
007223-0062-008-00,06/07/2022,"2,825,000","2,825,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2025,126,5
007223-0062-016-00,09/08/2022,"2,835,000","2,835,000",דירה בבית קומות,0.5,Tel-Aviv-jaffa,2022,114,5
007259-0008-023-00,09/08/2022,"2,966,666","2,966,666",דירה בבית קומות,0.333,Tel-Aviv-jaffa,2022,159,5
